feature,importance
GENERAL_SERVICES,1186
total_spending,1142
BANK_FEES,1101
FOOD_AND_DRINK,1092
GENERAL_MERCHANDISE,1089
ENTERTAINMENT,1085
RENT_AND_UTILITIES,1083
LOAN_PAYMENTS,1076
TRANSPORTATION,1041
TRANSFER_OUT,1013
PERSONAL_CARE,975
MEDICAL,816
TRAVEL,560
HOME_IMPROVEMENT,541
GOVERNMENT_AND_NON_PROFIT,472
outflow_inflow_ratio,144
total_income,127
total_transfer_in,125
total_inflow,103
OTHER,97
income_spent_pct,88
total_outflow,44
recurring_merchants_count,0
unique_merchants_90d,0
unique_merchants_all_time,0
unique_categories_all_time,0
unique_detailed_categories,0
total_transactions_all_time,0
transaction_count_90d,0
unique_categories_90d,0
transaction_count_60d,0
time_span_days,0
unique_categories_60d,0
unique_merchants_60d,0
transaction_count_30d,0
unique_categories_30d,0
unique_merchants_30d,0
days_since_last_transaction,0
transaction_frequency_all_time,0
merchant_concentration,0
