feature,importance
total_spending,0.1102095329389076
TRANSFER_OUT,0.09172936903066611
LOAN_PAYMENTS,0.08779484468303596
GENERAL_SERVICES,0.08126182679540297
ENTERTAINMENT,0.06871430233710407
FOOD_AND_DRINK,0.06850559593056058
GENERAL_MERCHANDISE,0.06656458862575187
BANK_FEES,0.06271118543095841
TRANSPORTATION,0.06250385330668828
RENT_AND_UTILITIES,0.05673834983185778
PERSONAL_CARE,0.05437168737395621
MEDICAL,0.04952468376624599
GOVERNMENT_AND_NON_PROFIT,0.03544651491634593
HOME_IMPROVEMENT,0.03333287042107624
TRAVEL,0.032202380769252345
total_transfer_in,0.00577110438622611
outflow_inflow_ratio,0.00571042823443467
income_spent_pct,0.005686800134651596
total_outflow,0.00567380114545715
total_inflow,0.005656508688264025
total_income,0.005653909355081736
OTHER,0.004235861898074495
unique_detailed_categories,0.0
total_transactions_all_time,0.0
unique_merchants_all_time,0.0
transaction_count_90d,0.0
unique_categories_90d,0.0
unique_merchants_90d,0.0
transaction_count_60d,0.0
unique_categories_60d,0.0
unique_merchants_60d,0.0
transaction_count_30d,0.0
unique_categories_30d,0.0
unique_merchants_30d,0.0
days_since_last_transaction,0.0
transaction_frequency_all_time,0.0
time_span_days,0.0
recurring_merchants_count,0.0
unique_categories_all_time,0.0
merchant_concentration,0.0
