feature,importance
total_spending,0.06543040293040295
TRANSFER_OUT,0.035164835164835186
LOAN_PAYMENTS,0.03406593406593409
GENERAL_SERVICES,0.013369963369963433
outflow_inflow_ratio,0.008974358974359053
income_spent_pct,0.007875457875457959
ENTERTAINMENT,0.007005494505494576
FOOD_AND_DRINK,0.006501831501831558
total_income,0.0029761904761904656
total_outflow,0.0028846153846153744
MEDICAL,0.0021062271062270987
GENERAL_MERCHANDISE,0.001831501831501825
RENT_AND_UTILITIES,0.0016483516483516425
OTHER,0.0004120879120879106
total_inflow,9.157509157509125e-05
unique_merchants_30d,0.0
transaction_count_90d,0.0
unique_categories_90d,0.0
unique_merchants_90d,0.0
transaction_count_60d,0.0
unique_categories_60d,0.0
unique_merchants_60d,0.0
transaction_count_30d,0.0
unique_categories_30d,0.0
merchant_concentration,0.0
days_since_last_transaction,0.0
transaction_frequency_all_time,0.0
time_span_days,0.0
recurring_merchants_count,0.0
total_transactions_all_time,0.0
unique_detailed_categories,0.0
unique_categories_all_time,0.0
unique_merchants_all_time,0.0
total_transfer_in,-0.0009615384615384581
PERSONAL_CARE,-0.0010073260073260037
GOVERNMENT_AND_NON_PROFIT,-0.0010073260073260037
HOME_IMPROVEMENT,-0.0022435897435897356
TRAVEL,-0.0024725274725274637
BANK_FEES,-0.0028388278388278287
TRANSPORTATION,-0.005448717948717929
